desired_joint, measured_joint
0.000191748, 9.5874e-05
0.000191748, 9.5874e-05
0.000191748, 0.000191748
0.000191746, 9.5874e-05
0.000191742, 9.5874e-05
0.000191733, 0.000191748
0.000191719, 0.000191748
0.000191699, 9.5874e-05
0.00019167, 9.5874e-05
0.000191633, 9.5874e-05
0.000191585, 0.000191748
0.000191526, 0.000191748
0.000191455, 9.5874e-05
0.00019137, 0.000191748
0.000191271, 9.5874e-05
0.000191157, 9.5874e-05
0.000191027, 9.5874e-05
0.00019088, 9.5874e-05
0.000190716, 9.5874e-05
0.000190532, 9.5874e-05
0.000190329, 0.000191748
0.000190107, 0.000191748
0.000189863, 0.000191748
0.000189598, 0.000191748
0.000189312, 9.5874e-05
0.000189002, 9.5874e-05
0.00018867, 9.5874e-05
0.000188314, 9.5874e-05
0.000187934, 9.5874e-05
0.00018753, 0.000191748
0.0001871, 9.5874e-05
0.000186645, 9.5874e-05
0.000186165, 9.5874e-05
0.000185658, 0.000191748
0.000185126, 9.5874e-05
0.000184566, 9.5874e-05
0.00018398, 9.5874e-05
0.000183367, 0.000191748
0.000182727, 9.5874e-05
0.00018206, 0.000191748
0.000181365, 9.5874e-05
0.000180642, 9.5874e-05
0.000179892, 9.5874e-05
0.000179114, 9.5874e-05
0.000178309, 9.5874e-05
0.000177476, 9.5874e-05
0.000176615, 9.5874e-05
0.000175726, 9.5874e-05
0.000174811, 9.5874e-05
0.000173867, 9.5874e-05
0.000172897, 9.5874e-05
0.000171899, 0.000191748
0.000170875, 0.000191748
0.000169823, 9.5874e-05
0.000168745, 9.5874e-05
0.000167641, 9.5874e-05
0.000166511, 9.5874e-05
0.000165354, 0.000191748
0.000164173, 9.5874e-05
0.000162966, 9.5874e-05
0.000161734, 9.5874e-05
0.000160478, 9.5874e-05
0.000159197, 9.5874e-05
0.000157893, 9.5874e-05
0.000156566, 9.5874e-05
0.000155215, 9.5874e-05
0.000153842, 9.5874e-05
0.000152447, 9.5874e-05
0.00015103, 9.5874e-05
0.000149592, 9.5874e-05
0.000148134, 9.5874e-05
0.000146655, 0.000191748
0.000145156, 9.5874e-05
0.000143639, 9.5874e-05
0.000142103, 9.5874e-05
0.000140549, 9.5874e-05
0.000138978, 9.5874e-05
0.000137389, 9.5874e-05
0.000135785, 0.000191748
0.000134165, 9.5874e-05
0.000132529, 0.000191748
0.00013088, 0.000191748
0.000129216, 9.5874e-05
0.000127539, 9.5874e-05
0.00012585, 9.5874e-05
0.000124149, 9.5874e-05
0.000122437, 9.5874e-05
0.000120714, 9.5874e-05
0.000118981, 0.000191748
0.000117239, 9.5874e-05
0.000115489, 0.000191748
0.000113731, 9.5874e-05
0.000111966, 9.5874e-05
0.000110194, 9.5874e-05
0.000108416, 9.5874e-05
0.000106634, 9.5874e-05
0.000104847, 9.5874e-05
0.000103057, 9.5874e-05
0.000101264, 9.5874e-05
9.94684e-05, 9.5874e-05
9.76716e-05, 9.5874e-05
9.5874e-05, 0.000191748
9.40765e-05, 9.5874e-05
9.22797e-05, 9.5874e-05
9.04844e-05, 9.5874e-05
8.86911e-05, 0.000191748
8.69008e-05, 0.000191748
8.51141e-05, 9.5874e-05
8.33316e-05, 9.5874e-05
8.15542e-05, 9.5874e-05
7.97824e-05, 0.000191748
7.80171e-05, 9.5874e-05
7.62589e-05, 0.000191748
7.45086e-05, 9.5874e-05
7.27667e-05, 0.000191748
7.1034e-05, 0.000191748
6.93112e-05, 9.5874e-05
6.75989e-05, 0.000191748
6.58979e-05, 0.000191748
6.42087e-05, 9.5874e-05
6.2532e-05, 9.5874e-05
6.08685e-05, 9.5874e-05
5.92188e-05, 9.5874e-05
5.75835e-05, 9.5874e-05
5.59633e-05, 9.5874e-05
5.43588e-05, 9.5874e-05
5.27705e-05, 9.5874e-05
5.11991e-05, 0.000191748
4.96451e-05, 9.5874e-05
4.81091e-05, 9.5874e-05
4.65916e-05, 0.000191748
4.50933e-05, 0.000191748
4.36146e-05, 9.5874e-05
4.2156e-05, 9.5874e-05
4.07181e-05, 9.5874e-05
3.93013e-05, 9.5874e-05
3.79061e-05, 0.000191748
3.6533e-05, 9.5874e-05
3.51825e-05, 9.5874e-05
3.38549e-05, 9.5874e-05
3.25507e-05, 9.5874e-05
3.12703e-05, 9.5874e-05
3.0014e-05, 9.5874e-05
2.87823e-05, 0.000191748
2.75754e-05, 9.5874e-05
2.63937e-05, 9.5874e-05
2.52375e-05, 0.000191748
2.41072e-05, 9.5874e-05
2.30029e-05, 0.000191748
2.19249e-05, 0.000191748
2.08735e-05, 9.5874e-05
1.98489e-05, 9.5874e-05
1.88513e-05, 9.5874e-05
1.78807e-05, 9.5874e-05
1.69375e-05, 9.5874e-05
1.60216e-05, 9.5874e-05
1.51333e-05, 9.5874e-05
1.42725e-05, 0.000191748
1.34394e-05, 9.5874e-05
1.2634e-05, 9.5874e-05
1.18562e-05, 9.5874e-05
1.1106e-05, 9.5874e-05
1.03835e-05, 9.5874e-05
9.68855e-06, 9.5874e-05
9.02102e-06, 9.5874e-05
8.3808e-06, 9.5874e-05
7.76775e-06, 0.000191748
7.18169e-06, 9.5874e-05
6.62241e-06, 9.5874e-05
6.08968e-06, 0.000191748
5.58323e-06, 0.000191748
5.10278e-06, 9.5874e-05
4.64799e-06, 0.000191748
4.21851e-06, 9.5874e-05
3.81397e-06, 9.5874e-05
3.43394e-06, 9.5874e-05
3.07799e-06, 9.5874e-05
2.74562e-06, 0.000191748
2.43634e-06, 0.000191748
2.14959e-06, 9.5874e-05
1.8848e-06, 9.5874e-05
1.64136e-06, 9.5874e-05
1.41863e-06, 9.5874e-05
1.21593e-06, 0.000191748
1.03254e-06, 9.5874e-05
8.6771e-07, 0.000191748
7.20662e-07, 9.5874e-05
5.90571e-07, 0.000191748
4.76581e-07, 0.000191748
3.77795e-07, 9.5874e-05
2.93281e-07, 9.5874e-05
2.22068e-07, 0.000191748
1.63148e-07, 0.000191748
1.15473e-07, 0.000191748
7.79563e-08, 9.5874e-05
4.94702e-08, 9.5874e-05
2.88483e-08, 9.5874e-05
1.48833e-08, 9.5874e-05
6.32676e-09, 0.000191748
1.88883e-09, 9.5874e-05
2.37891e-10, 9.5874e-05
0, 0
0, 9.5874e-05
0, 9.5874e-05
0, 0.000191748
0, 0.000191748
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 0.000191748
0, 0.000191748
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 0.000191748
0, 0.000191748
0, 0.000191748
0, 9.5874e-05
0, 0.000191748
0, 9.5874e-05
0, 9.5874e-05
0, 0.000191748
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 0.000191748
0, 0.000191748
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 0.000191748
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
0, 9.5874e-05
