desired_joint, measured_joint
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
4.33066e-07, 0.061647
3.43851e-06, 0.061647
1.15175e-05, 0.061647
2.70942e-05, 0.061647
5.25167e-05, 0.061647
9.00575e-05, 0.061647
0.000141915, 0.061647
0.000210212, 0.061647
0.000297002, 0.061647
0.000404262, 0.061647
0.0005339, 0.0617429
0.000687752, 0.0617429
0.000867587, 0.061647
0.0010751, 0.061647
0.00131192, 0.0617429
0.00157961, 0.0617429
0.00187967, 0.0617429
0.00221352, 0.0618388
0.00258253, 0.0618388
0.002988, 0.0619346
0.00343117, 0.0620305
0.0039132, 0.0621264
0.0044352, 0.0625099
0.00499824, 0.0629892
0.00560329, 0.0634686
0.00625129, 0.0641397
0.00694311, 0.064715
0.00767955, 0.0651943
0.00846138, 0.0658655
0.0092893, 0.0667283
0.0101639, 0.0674953
0.0110859, 0.0683582
0.0120557, 0.0692211
0.0130738, 0.0700839
0.0141407, 0.0710427
0.0152567, 0.0719055
0.0164222, 0.073056
0.0176374, 0.0739189
0.0189026, 0.075357
0.0202179, 0.0765075
0.0215835, 0.077658
0.0229994, 0.0790002
0.0244656, 0.0803424
0.0259823, 0.0816847
0.0275493, 0.0831228
0.0291664, 0.0846568
0.0308337, 0.0862866
0.0325508, 0.0880124
0.0343176, 0.0896422
0.0361338, 0.0912721
0.037999, 0.0925184
0.039913, 0.0945318
0.0418754, 0.0961617
0.0438857, 0.0980791
0.0459434, 0.100188
0.0480482, 0.101818
0.0501993, 0.103832
0.0523964, 0.106037
0.0546387, 0.108338
0.0569257, 0.110063
0.0592566, 0.111502
0.0616308, 0.113419
0.0640476, 0.116008
0.0665062, 0.118404
0.0690058, 0.120418
0.0715456, 0.122239
0.0741248, 0.12454
0.0767424, 0.127321
0.0793977, 0.130005
0.0820896, 0.132306
0.0848173, 0.134224
0.0875797, 0.136716
0.0903759, 0.139688
0.0932048, 0.142661
0.0960655, 0.14477
0.0989569, 0.146879
0.101878, 0.149755
0.104827, 0.150043
0.107804, 0.155987
0.110807, 0.158096
0.113836, 0.16011
0.116888, 0.16289
0.119963, 0.165766
0.12306, 0.169409
0.126177, 0.171423
0.129313, 0.173532
0.132467, 0.176504
0.135638, 0.179476
0.138825, 0.183215
0.142026, 0.185325
0.145239, 0.187913
0.148464, 0.188968
0.1517, 0.188968
0.154945, 0.188968
0.158198, 0.188968
0.161457, 0.205266
0.164721, 0.208143
0.16799, 0.211402
0.171261, 0.214566
0.174533, 0.216292
0.177805, 0.218209
0.181076, 0.221277
0.184345, 0.225208
0.187609, 0.22818
0.190868, 0.230289
0.194121, 0.232495
0.197366, 0.235946
0.200601, 0.239206
0.203827, 0.242465
0.20704, 0.243712
0.210241, 0.245438
0.213427, 0.249368
0.216598, 0.252916
0.219753, 0.25608
0.222889, 0.25723
0.226006, 0.258956
0.229103, 0.261928
0.232178, 0.265571
0.23523, 0.268831
0.238258, 0.270652
0.241262, 0.272474
0.244238, 0.27535
0.247188, 0.278802
0.250109, 0.281486
0.253, 0.283212
0.255861, 0.284938
0.25869, 0.287334
0.261486, 0.290307
0.264249, 0.292895
0.266976, 0.294333
0.269668, 0.296347
0.272323, 0.298743
0.274941, 0.302099
0.27752, 0.304112
0.28006, 0.305167
0.28256, 0.306701
0.285018, 0.309481
0.287435, 0.312741
0.289809, 0.315234
0.29214, 0.317535
0.294427, 0.319644
0.296669, 0.321753
0.298867, 0.323862
0.301018, 0.326835
0.303122, 0.329231
0.30518, 0.331437
0.30719, 0.333162
0.309153, 0.335463
0.311067, 0.337572
0.312932, 0.339682
0.314748, 0.341599
0.316515, 0.343517
0.318232, 0.345242
0.319899, 0.346968
0.321517, 0.348502
0.323084, 0.34994
0.3246, 0.351762
0.326066, 0.353104
0.327482, 0.354542
0.328848, 0.355693
0.330163, 0.356939
0.331428, 0.358569
0.332644, 0.359719
0.333809, 0.360678
0.334925, 0.361829
0.335992, 0.362979
0.33701, 0.36413
0.33798, 0.365088
0.338902, 0.365951
0.339777, 0.366814
0.340604, 0.367485
0.341386, 0.36854
0.342123, 0.369499
0.342815, 0.370074
0.343463, 0.370745
0.344068, 0.37132
0.344631, 0.372087
0.345153, 0.372183
0.345635, 0.373238
0.346078, 0.373525
0.346483, 0.373909
0.346852, 0.374676
0.347186, 0.375059
0.347486, 0.375251
0.347754, 0.375443
0.347991, 0.37573
0.348198, 0.376114
0.348378, 0.376401
0.348532, 0.376497
0.348662, 0.376593
0.348769, 0.376689
0.348856, 0.376785
0.348924, 0.376977
0.348976, 0.377073
0.349013, 0.377073
0.349039, 0.377168
0.349054, 0.377168
0.349062, 0.377264
0.349065, 0.377264
0.349066, 0.37736
0.349066, 0.377456
0.349066, 0.377456
0.349066, 0.377456
0.349066, 0.377552
0.349066, 0.377456
0.349066, 0.377552
0.349066, 0.377456
0.349066, 0.377552
0.349066, 0.377456
0.349066, 0.377552
0.349066, 0.377456
0.349066, 0.377456
0.349066, 0.377456
0.349066, 0.377456
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377456
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377552
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377648
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
0.349066, 0.377744
