desired_joint, measured_joint
0.00757405, 0.00766992
0.00757405, 0.00757405
0.00757404, 0.00757405
0.00757397, 0.00757405
0.0075738, 0.00757405
0.00757346, 0.00757405
0.00757291, 0.00757405
0.00757209, 0.00757405
0.00757097, 0.00757405
0.00756949, 0.00757405
0.0075676, 0.00766992
0.00756528, 0.00757405
0.00756246, 0.00757405
0.00755913, 0.00757405
0.00755522, 0.00757405
0.00755072, 0.00757405
0.00754558, 0.00757405
0.00753977, 0.00757405
0.00753326, 0.00757405
0.00752602, 0.00757405
0.00751801, 0.00766992
0.00750921, 0.00766992
0.0074996, 0.00757405
0.00748914, 0.00757405
0.00747781, 0.00757405
0.0074656, 0.00757405
0.00745247, 0.00757405
0.00743841, 0.00757405
0.0074234, 0.00766992
0.00740742, 0.00757405
0.00739045, 0.00757405
0.00737249, 0.00757405
0.00735351, 0.00757405
0.00733351, 0.00757405
0.00731246, 0.00757405
0.00729037, 0.00757405
0.00726722, 0.00757405
0.00724301, 0.00757405
0.00721772, 0.00757405
0.00719135, 0.00757405
0.0071639, 0.00757405
0.00713536, 0.00757405
0.00710573, 0.00757405
0.00707501, 0.00757405
0.00704319, 0.00757405
0.00701028, 0.00757405
0.00697628, 0.00757405
0.00694119, 0.00747817
0.00690502, 0.00757405
0.00686776, 0.00747817
0.00682942, 0.00747817
0.00679002, 0.00747817
0.00674954, 0.00747817
0.00670801, 0.00747817
0.00666543, 0.0073823
0.00662182, 0.0073823
0.00657717, 0.00728643
0.0065315, 0.00719055
0.00648482, 0.00719055
0.00643715, 0.00709468
0.0063885, 0.0069988
0.00633887, 0.00690293
0.0062883, 0.00690293
0.00623678, 0.00690293
0.00618434, 0.00680706
0.00613099, 0.00690293
0.00607676, 0.00680706
0.00602165, 0.00680706
0.00596569, 0.00671118
0.00590889, 0.00680706
0.00585127, 0.00671118
0.00579286, 0.00671118
0.00573368, 0.00671118
0.00567374, 0.00661531
0.00561307, 0.00661531
0.00555169, 0.00661531
0.00548961, 0.00651943
0.00542688, 0.00651943
0.0053635, 0.00642356
0.0052995, 0.00642356
0.00523491, 0.00632769
0.00516974, 0.00632769
0.00510403, 0.00623181
0.00503781, 0.00623181
0.00497108, 0.00613594
0.00490389, 0.00604006
0.00483626, 0.00604006
0.00476821, 0.00594419
0.00469976, 0.00594419
0.00463096, 0.00584832
0.00456182, 0.00584832
0.00449237, 0.00575244
0.00442264, 0.00556069
0.00435266, 0.00546482
0.00428245, 0.00536895
0.00421204, 0.00527307
0.00414147, 0.0051772
0.00407075, 0.0051772
0.00399992, 0.0051772
0.003929, 0.0051772
0.00385803, 0.0051772
0.00378702, 0.00508132
0.00371602, 0.00508132
0.00364505, 0.00488958
0.00357413, 0.0047937
0.0035033, 0.0047937
0.00343258, 0.00469783
0.00336201, 0.00460195
0.0032916, 0.00460195
0.00322139, 0.00450608
0.00315141, 0.00441021
0.00308168, 0.00441021
0.00301223, 0.00421846
0.00294309, 0.00412258
0.00287428, 0.00402671
0.00280584, 0.00393084
0.00273779, 0.00383496
0.00267016, 0.00364321
0.00260297, 0.00364321
0.00253624, 0.00364321
0.00247001, 0.00364321
0.00240431, 0.00364321
0.00233914, 0.00354734
0.00227455, 0.00354734
0.00221055, 0.00354734
0.00214717, 0.00345147
0.00208444, 0.00345147
0.00202236, 0.00335559
0.00196098, 0.00345147
0.00190031, 0.00335559
0.00184037, 0.00335559
0.00178118, 0.00325972
0.00172277, 0.00325972
0.00166516, 0.00316384
0.00160836, 0.00306797
0.0015524, 0.00306797
0.00149729, 0.0029721
0.00144306, 0.0029721
0.00138971, 0.00287622
0.00133727, 0.00278035
0.00128575, 0.00268447
0.00123518, 0.00268447
0.00118555, 0.0025886
0.0011369, 0.00249272
0.00108923, 0.00230098
0.00104255, 0.0022051
0.000996883, 0.00210923
0.000952234, 0.00210923
0.000908614, 0.00210923
0.000866035, 0.00210923
0.000824505, 0.00201335
0.000784032, 0.00201335
0.000744625, 0.00201335
0.000706289, 0.00201335
0.000669031, 0.00201335
0.000632855, 0.00201335
0.000597765, 0.00201335
0.000563765, 0.00191748
0.000530857, 0.00191748
0.000499041, 0.00191748
0.000468319, 0.00191748
0.000438689, 0.00191748
0.000410149, 0.00191748
0.000382698, 0.00182161
0.00035633, 0.00191748
0.000331042, 0.00182161
0.000306826, 0.00182161
0.000283677, 0.00182161
0.000261585, 0.00182161
0.000240542, 0.00182161
0.000220538, 0.00172573
0.00020156, 0.00172573
0.000183596, 0.00182161
0.000166631, 0.00182161
0.000150652, 0.00172573
0.000135641, 0.00172573
0.00012158, 0.00172573
0.000108452, 0.00172573
9.62353e-05, 0.00172573
8.49087e-05, 0.00172573
7.44496e-05, 0.00172573
6.48339e-05, 0.00162986
5.6036e-05, 0.00172573
4.80292e-05, 0.00162986
4.07852e-05, 0.00162986
3.42745e-05, 0.00162986
2.84661e-05, 0.00162986
2.33276e-05, 0.00162986
1.88249e-05, 0.00162986
