desired_joint, measured_joint
9.5874e-05, 9.5874e-05
9.5874e-05, 9.5874e-05
9.58739e-05, 9.5874e-05
9.58731e-05, 0.000191748
9.58709e-05, 9.5874e-05
9.58666e-05, 9.5874e-05
9.58596e-05, 9.5874e-05
9.58493e-05, 9.5874e-05
9.58351e-05, 9.5874e-05
9.58163e-05, 9.5874e-05
9.57925e-05, 9.5874e-05
9.5763e-05, 9.5874e-05
9.57274e-05, 9.5874e-05
9.56851e-05, 0.000191748
9.56357e-05, 9.5874e-05
9.55787e-05, 9.5874e-05
9.55137e-05, 9.5874e-05
9.54402e-05, 9.5874e-05
9.53578e-05, 9.5874e-05
9.52661e-05, 9.5874e-05
9.51647e-05, 9.5874e-05
9.50534e-05, 9.5874e-05
9.49316e-05, 0.000191748
9.47992e-05, 0.000191748
9.46559e-05, 9.5874e-05
9.45012e-05, 9.5874e-05
9.4335e-05, 0.000191748
9.41571e-05, 9.5874e-05
9.3967e-05, 9.5874e-05
9.37648e-05, 9.5874e-05
9.355e-05, 9.5874e-05
9.33226e-05, 9.5874e-05
9.30824e-05, 9.5874e-05
9.28292e-05, 9.5874e-05
9.25628e-05, 0.000191748
9.22832e-05, 9.5874e-05
9.19902e-05, 9.5874e-05
9.16836e-05, 9.5874e-05
9.13635e-05, 9.5874e-05
9.10298e-05, 9.5874e-05
9.06823e-05, 9.5874e-05
9.0321e-05, 0.000191748
8.99459e-05, 9.5874e-05
8.95571e-05, 9.5874e-05
8.91543e-05, 0.000191748
8.87378e-05, 9.5874e-05
8.83074e-05, 9.5874e-05
8.78632e-05, 0.000191748
8.74053e-05, 9.5874e-05
8.69337e-05, 9.5874e-05
8.64484e-05, 9.5874e-05
8.59496e-05, 9.5874e-05
8.54373e-05, 9.5874e-05
8.49116e-05, 0.000191748
8.43726e-05, 9.5874e-05
8.38204e-05, 0.000191748
8.32553e-05, 9.5874e-05
8.26772e-05, 9.5874e-05
8.20863e-05, 0.000191748
8.14829e-05, 9.5874e-05
8.0867e-05, 9.5874e-05
8.02389e-05, 9.5874e-05
7.95987e-05, 9.5874e-05
