desired_joint, measured_joint
9.5874e-05, 9.5874e-05
9.5874e-05, 9.5874e-05
9.5874e-05, 9.5874e-05
9.5874e-05, 9.5874e-05
9.58738e-05, 9.5874e-05
9.58735e-05, 9.5874e-05
9.58731e-05, 0.000191748
9.58724e-05, 9.5874e-05
9.58715e-05, 9.5874e-05
9.58702e-05, 9.5874e-05
9.58686e-05, 9.5874e-05
9.58666e-05, 0.000191748
9.58642e-05, 9.5874e-05
9.58613e-05, 9.5874e-05
9.58578e-05, 9.5874e-05
9.58539e-05, 9.5874e-05
9.58493e-05, 0.000191748
9.58441e-05, 9.5874e-05
9.58382e-05, 9.5874e-05
9.58317e-05, 0.000191748
9.58244e-05, 9.5874e-05
9.58163e-05, 9.5874e-05
9.58074e-05, 0.000191748
9.57977e-05, 9.5874e-05
9.5787e-05, 9.5874e-05
9.57755e-05, 9.5874e-05
9.5763e-05, 9.5874e-05
9.57495e-05, 9.5874e-05
9.5735e-05, 9.5874e-05
9.57195e-05, 9.5874e-05
9.57029e-05, 0.000191748
9.56851e-05, 9.5874e-05
9.56663e-05, 9.5874e-05
9.56462e-05, 9.5874e-05
9.5625e-05, 0.000191748
9.56025e-05, 9.5874e-05
9.55787e-05, 9.5874e-05
9.55537e-05, 9.5874e-05
9.55274e-05, 9.5874e-05
9.54997e-05, 9.5874e-05
9.54706e-05, 0.000191748
9.54402e-05, 9.5874e-05
9.54083e-05, 9.5874e-05
9.5375e-05, 9.5874e-05
9.53402e-05, 9.5874e-05
9.53039e-05, 9.5874e-05
9.52661e-05, 9.5874e-05
9.52267e-05, 9.5874e-05
9.51858e-05, 9.5874e-05
9.51433e-05, 9.5874e-05
9.50991e-05, 9.5874e-05
9.50534e-05, 9.5874e-05
9.50059e-05, 9.5874e-05
9.49568e-05, 9.5874e-05
9.4906e-05, 9.5874e-05
9.48535e-05, 9.5874e-05
9.47992e-05, 9.5874e-05
9.47432e-05, 9.5874e-05
9.46854e-05, 9.5874e-05
9.46258e-05, 9.5874e-05
9.45644e-05, 9.5874e-05
9.45012e-05, 9.5874e-05
9.44361e-05, 9.5874e-05
